line,type,value,attribute
"1","States.ERROR","None","None"
"1","States.ID","include","0"
"1","States.COMPRASION","<","None"
"1","States.ID","stdio","1"
"1","States.FLOAT",".","None"
"1","States.ID","h","2"
"1","States.COMPRASION",">","None"
"3","States.KEYWORD","int","0"
"3","States.ID","main","3"
"3","States.DELIM","(","None"
"3","States.DELIM",")","None"
"4","States.DELIM","{","None"
"5","States.ID","printf","4"
"5","States.DELIM","(","None"
"5","States.STRING",""Some Example"","None"
"5","States.DELIM",")","None"
"5","States.DELIM",";","None"
"6","States.KEYWORD","int","0"
"6","States.ID","a","5"
"6","States.ASSIGNMENT","=","None"
"6","States.INT","35482","None"
"6","States.DELIM",";","None"
"7","States.KEYWORD","float","1"
"7","States.ID","b","6"
"7","States.ASSIGNMENT","=","None"
"7","States.FLOAT",".9393","None"
"7","States.DELIM",";","None"
"8","States.KEYWORD","float","1"
"8","States.ID","c","7"
"8","States.ASSIGNMENT","=","None"
"8","States.FLOAT","39.999","None"
"8","States.DELIM",";","None"
"9","States.KEYWORD","float","1"
"9","States.ID","d","8"
"9","States.ASSIGNMENT","=","None"
"9","States.FLOAT","0.423","None"
"9","States.ID","E10","9"
"9","States.DELIM",";","None"
"10","States.KEYWORD","float","1"
"10","States.ID","e","10"
"10","States.ASSIGNMENT","=","None"
"10","States.FLOAT","0.429","None"
"10","States.ID","E","11"
"10","States.OPERATOR","+","None"
"10","States.INT","10","None"
"10","States.DELIM",";","None"
"11","States.KEYWORD","float","1"
"11","States.ID","f","12"
"11","States.ASSIGNMENT","=","None"
"11","States.FLOAT","0.289","None"
"11","States.ID","E","11"
"11","States.OPERATOR","-","None"
"11","States.INT","12","None"
"11","States.DELIM",";","None"
"13","States.KEYWORD","if","6"
"13","States.DELIM","(","None"
"13","States.ID","a","5"
"13","States.COMPRASION",">","None"
"13","States.INT","50","None"
"13","States.DELIM",")","None"
"14","States.DELIM","{","None"
"15","States.ID","printf","4"
"15","States.DELIM","(","None"
"15","States.STRING",""True"","None"
"15","States.DELIM",")","None"
"15","States.DELIM",";","None"
"16","States.DELIM","}","None"
"17","States.KEYWORD","else","7"
"18","States.DELIM","{","None"
"19","States.ID","printf","4"
"19","States.DELIM","(","None"
"19","States.STRING",""Just False"","None"
"19","States.DELIM",")","None"
"19","States.DELIM",";","None"
"20","States.DELIM","}","None"
"21","States.KEYWORD","for","8"
"21","States.DELIM","(","None"
"21","States.KEYWORD","int","0"
"21","States.ID","i","13"
"21","States.ASSIGNMENT","=","None"
"21","States.INT","0","None"
"21","States.DELIM",";","None"
"21","States.ID","i","13"
"21","States.COMPRASION","<","None"
"21","States.INT","10","None"
"21","States.DELIM",";","None"
"21","States.PPFIX","++","None"
"21","States.ID","i","13"
"21","States.DELIM",")","None"
"22","States.DELIM","{","None"
"23","States.ID","printf","4"
"23","States.DELIM","(","None"
"23","States.STRING",""just example\n"","None"
"23","States.DELIM",")","None"
"23","States.DELIM",";","None"
"24","States.DELIM","}","None"
"25","States.KEYWORD","int","0"
"25","States.ID","i","13"
"25","States.ASSIGNMENT","=","None"
"25","States.INT","0","None"
"25","States.DELIM",";","None"
"26","States.KEYWORD","while","9"
"26","States.DELIM","(","None"
"26","States.INT","1","None"
"26","States.DELIM",")","None"
"27","States.DELIM","{","None"
"28","States.ID","printf","4"
"28","States.DELIM","(","None"
"28","States.STRING",""%u"","None"
"28","States.DELIM",",","None"
"28","States.ID","i","13"
"28","States.DELIM",")","None"
"28","States.DELIM",";","None"
"29","States.KEYWORD","if","6"
"29","States.DELIM","(","None"
"29","States.ID","i","13"
"29","States.COMPRASION","==","None"
"29","States.INT","10","None"
"29","States.DELIM",")","None"
"30","States.DELIM","{","None"
"31","States.ID","break","14"
"31","States.DELIM",";","None"
"32","States.DELIM","}","None"
"33","States.ID","i","13"
"33","States.PPFIX","++","None"
"33","States.DELIM",";","None"
"34","States.DELIM","}","None"
"35","States.ID","a","5"
"35","States.COMPRASION",">=","None"
"35","States.ID","c","7"
"35","States.DELIM",";","None"
"36","States.ID","b","6"
"36","States.COMPRASION","<=","None"
"36","States.ID","c","7"
"36","States.DELIM",";","None"
"37","States.ID","b","6"
"37","States.COMPRASION","==","None"
"37","States.ID","b","6"
"37","States.DELIM",";","None"
"38","States.ID","a","5"
"38","States.COMPRASION",">","None"
"38","States.ID","c","7"
"38","States.DELIM",";","None"
"39","States.ID","b","6"
"39","States.COMPRASION","<","None"
"39","States.ID","c","7"
"39","States.DELIM",";","None"
"40","States.KEYWORD","int","0"
"40","States.ID","g","15"
"40","States.ASSIGNMENT","=","None"
"40","States.ID","a","5"
"40","States.OPERATOR","+","None"
"40","States.ID","b","6"
"40","States.DELIM",";","None"
"41","States.ID","g","15"
"41","States.PPFIX","++","None"
"41","States.DELIM",";","None"
"42","States.ID","g","15"
"42","States.ASSIGNMENT","+=","None"
"42","States.ID","b","6"
"42","States.DELIM",";","None"
"43","States.ID","g","15"
"43","States.PPFIX","--","None"
"43","States.DELIM",";","None"
"44","States.ID","g","15"
"44","States.ASSIGNMENT","-=","None"
"44","States.ID","a","5"
"44","States.DELIM",";","None"
"45","States.SCOMMENT","// that is comment and we doing nothing","None"
"46","States.DELIM","}","None"
